Merge sort uses which of the following technique to implement sorting?, backtracking, greedy algorithm, divide and conquer, dynamic programming,2
What is the average case time complexity of merge sort?, O(n log n), O(n^2), O(n^2 log n), O(n log n^2), 0
What is an internal sorting algorithm?, Algorithm that uses tape or disk during the sort, Algorithm that uses main memory during the sort, Algorithm that involves swapping, Algorithm that are considered "in place", 1
Merge sort uses which of the following technique to implement sorting?, backtracking, greedy algorithm, divide and conquer, dynamic programming,2
What is the average case time complexity of merge sort?, O(n log n), O(n^2), O(n^2 log n), O(n log n^2), 0
What is an internal sorting algorithm?, Algorithm that uses tape or disk during the sort, Algorithm that uses main memory during the sort, Algorithm that involves swapping, Algorithm that are considered "in place", 1
Merge sort uses which of the following technique to implement sorting?, backtracking, greedy algorithm, divide and conquer, dynamic programming,2
What is the average case time complexity of merge sort?, O(n log n), O(n^2), O(n^2 log n), O(n log n^2), 0
What is an internal sorting algorithm?, Algorithm that uses tape or disk during the sort, Algorithm that uses main memory during the sort, Algorithm that involves swapping, Algorithm that are considered "in place", 1
Merge sort uses which of the following technique to implement sorting?, backtracking, greedy algorithm, divide and conquer, dynamic programming,2
What is the average case time complexity of merge sort?, O(n log n), O(n^2), O(n^2 log n), O(n log n^2), 0
What is an internal sorting algorithm?, Algorithm that uses tape or disk during the sort, Algorithm that uses main memory during the sort, Algorithm that involves swapping, Algorithm that are considered "in place", 1
